JAPAN-A_Core マクロ経済複雑系シミュレーション結果
エクスポート日時,2026/06/17 21:31:50
[前提条件 (Inputs)]
項目,設定値,単位,実態適合スケーリング後/説明
初期名目GDP(Y0),691.9,兆円,開始時点(t=0)の名目GDP (実態適合)
初期政府債務残高(B0),1145.0,兆円,開始時点(t=0)の普通国債残高 (実態適合)
初期インフレ率(pi0),2.00,%,開始時点(t=0)の年率インフレ率
初期政策金利(r0),0.25,%,開始時点(t=0)の政策金利
初期長期金利(R0),3.00,%,開始時点(t=0)の長期金利 (リスクプレミアム加味)
初期為替レート(E0),150.0,円/ドル,開始時点(t=0)の為替レート
初期日銀国債保有量(BOJ0),588.4,兆円,開始時点(t=0)の日銀保有国債残高
初期民間保有国債(B_private0),556.6,兆円,開始時点(t=0)の民間部門保有国債残高
政府支出(G),100,兆円,実態適合スケーリング後: 91.0 兆円 (令和8年度予算ベース)
税率(tau),20,%,実効税率調整係数込で初期税収 83.7 兆円に適合
利上げ上限パルス(delta_r_max),0.25,%,1期(四半期)あたりの最大金利変更幅
目標インフレ率(pi_target),2.0,%,中央銀行 of Japan の政策金利調整基準インフレ目標
潜在GDP(Y_potential),500,兆円,実態適合スケーリング後: 691.9 兆円 (供給側上限)
日銀国債買い入れ額(Op),6.0,兆円/月,量的金融政策 (QT/QEの境界は 3.0 兆円/月)
シミュレーション期間(steps),120,期,1期=四半期 (合計: 30.0 年間)

[シミュレーション時系列データ (Outputs)]
期 (step),名目GDP (Y) [兆円],消費 (C) [兆円],投資 (I) [兆円],政府債務残高 (B) [兆円],税収 (T) [兆円],日銀保有国債 (B_boj) [兆円],日銀当座預金負債 (J_pos) [兆円],民間保有国債 (B_private) [兆円],インフレ率 (pi) [%],政策金利 (r) [%],長期金利 (R) [%],為替レート (USDJPY) [円/ドル],利払い費 (interest_payment) [兆円],当座預金付利負担 (boj_interest_payment) [兆円]
30,888.6768,488.7723,145.6303,1536.6120,107.5043,603.4000,543.6000,933.2120,3.7489,6.9851,10.2254,159.3969,48.8744,36.6122
31,893.5289,491.4409,145.1123,1554.2232,108.0913,603.9000,543.6000,950.3232,3.8185,7.2351,10.5193,159.7564,49.5646,37.9712
32,898.2179,494.0199,144.5471,1572.2087,108.6585,604.4000,543.6000,967.8087,3.8872,7.4851,10.8147,160.1189,50.2704,39.3302
33,902.7405,496.5073,143.9349,1590.5776,109.2056,604.9000,543.6000,985.6776,3.9549,7.7351,11.1116,160.4843,50.9922,40.6892
34,907.0935,498.9014,143.2756,1609.3392,109.7322,605.4000,543.6000,1003.9392,4.0216,7.9851,11.4100,160.8522,51.7303,42.0482
35,911.2739,501.2006,142.5693,1628.5028,110.2379,605.9000,543.6000,1022.6028,4.0872,8.2351,11.7099,161.2222,52.4853,43.4072
36,915.2788,503.4033,141.8162,1648.0781,110.7224,606.4000,543.6000,1041.6781,4.1517,8.4851,12.0114,161.5942,53.2576,44.7662
37,919.1053,505.5079,141.0162,1668.0750,111.1853,606.9000,543.6000,1061.1750,4.2150,8.7351,12.3145,161.9676,54.0476,46.1252
38,922.7508,507.5130,140.1697,1688.5035,111.6263,607.4000,543.6000,1081.1035,4.2771,8.9851,12.6192,162.3421,54.8559,47.4842
39,926.2129,509.4171,139.2768,1709.3737,112.0451,607.9000,543.6000,1101.4737,4.3379,9.2351,12.9255,162.7174,55.6829,48.8432
40,929.4890,511.2190,138.3378,1730.6961,112.4414,608.4000,543.6000,1122.2961,4.3974,9.4851,13.2336,163.0930,56.5291,50.2022
41,932.5770,512.9173,137.3530,1752.4815,112.8150,608.9000,543.6000,1143.5815,4.4555,9.7351,13.5433,163.4685,57.3951,51.5612
42,935.4747,514.5111,136.3227,1774.7405,113.1655,609.4000,543.6000,1165.3405,4.5122,9.9851,13.8549,163.8434,58.2813,52.9202
43,938.1800,515.9990,135.2472,1797.4841,113.4928,609.9000,543.6000,1187.5841,4.5675,10.2351,14.1682,164.2172,59.1884,54.2792
44,940.6912,517.3802,134.1271,1820.7237,113.7966,610.4000,543.6000,1210.3237,4.6213,10.4851,14.4833,164.5896,60.1168,55.6382
45,943.0065,518.6536,132.9626,1844.4707,114.0767,610.9000,543.6000,1233.5707,4.6735,10.7351,14.8003,164.9599,61.0672,56.9972
46,945.1244,519.8184,131.7542,1868.7365,114.3329,611.4000,543.6000,1257.3365,4.7241,10.9851,15.1192,165.3277,62.0402,58.3562
47,947.0433,520.8738,130.5026,1893.5331,114.5650,611.9000,543.6000,1281.6331,4.7732,11.2351,15.4400,165.6923,63.0362,59.7152
48,948.7619,521.8191,129.2081,1918.8725,114.7729,612.4000,543.6000,1306.4725,4.8205,11.4851,15.7628,166.0533,64.0560,61.0742
49,950.2792,522.6535,127.8714,1944.7667,114.9564,612.9000,543.6000,1331.8667,4.8661,11.7351,16.0876,166.4101,65.1002,62.4332
50,951.5940,523.3767,126.4931,1971.2282,115.1155,613.4000,543.6000,1357.8282,4.9100,11.9851,16.4145,166.7620,66.1694,63.7922
51,952.7055,523.9880,125.0739,1998.2696,115.2500,613.9000,543.6000,1384.3696,4.9521,12.2351,16.7434,167.1084,67.2643,65.1512
52,953.6129,524.4871,123.6143,2025.9036,115.3597,614.4000,543.6000,1411.5036,4.9923,12.4851,17.0745,167.4488,68.3855,66.5102
53,954.3157,524.8736,122.1151,2054.1431,115.4447,614.9000,543.6000,1439.2431,5.0307,12.7351,17.4078,167.7823,69.5338,67.8692
54,954.8133,525.1473,120.5771,2083.0013,115.5050,615.4000,543.6000,1467.6013,5.0671,12.9851,17.7433,168.1085,70.7098,69.2282
55,955.1056,525.3081,119.0011,2112.4916,115.5403,615.9000,543.6000,1496.5916,5.1016,13.2351,18.0811,168.4265,71.9142,70.5872
56,955.1923,525.3558,117.3878,2142.6274,115.5508,616.4000,543.6000,1526.2274,5.1340,13.4851,18.4211,168.7357,73.1478,71.9462
57,955.0734,525.2904,115.7381,2173.4225,115.5364,616.9000,543.6000,1556.5225,5.1644,13.7351,18.7635,169.0352,74.4114,73.3052
58,954.7491,525.1120,114.0529,2204.8906,115.4972,617.4000,543.6000,1587.4906,5.1927,13.9851,19.1083,169.3245,75.7057,74.6642
59,954.2196,524.8208,112.3332,2237.0460,115.4331,617.9000,543.6000,1619.1460,5.2188,14.2351,19.4555,169.6026,77.0315,76.0232
60,953.4853,524.4169,110.5799,2269.9029,115.3443,618.4000,543.6000,1651.5029,5.2427,14.4851,19.8051,169.8689,78.3895,77.3822
